name,L,ratio_132,ratio_108,doubleratio
AMD+JAM,55,3.466257669,1.724137931,2.010429448
AMD+JAM,82,3.416407061,1.715517241,1.991473463
AMD+JAM,152,3.154158215,1.655172414,1.905637255
r'$\chi \text{BUU}$',45.6,4.669724771,2.007462687,2.3261826
r'$\chi \text{BUU}$',120,4.128205128,1.935714286,2.132652096
UrQMD,46,3.713178295,2.027777778,1.831156419
UrQMD,81,3.511450382,1.923076923,1.825954198
UrQMD,104,3.37593985,1.863945578,1.811179408
IQMD-BNU,54.6,3.671409696,1.822861555,2.014091353
IQMD-BNU,84.6,3.379595032,1.75582169,1.924793988
IQMD-BNU,144.6,2.950853933,1.665418152,1.77183966
SMASH,55,2.791624673,1.511687957,1.846693731
SMASH,82,2.874436345,1.53905989,1.867657239
SMASH,152,2.932123541,1.549752275,1.89199499
TuQMD,54.6,5.372413793,2.511363636,2.139241691
TuQMD,84.6,5.792857143,2.590909091,2.235839599
TuQMD,144.6,5.786206897,2.61878453,2.209500946
pBUU,56.1,3.857344992,1.878381229,2.053547455
pBUU,134.8,3.51314079,1.830409711,1.919319357
