System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 79805
Number of events that dont conserve energy: 220

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.528902    0.002528    0.241977    0.001732    0.111985    0.001175    4.722950    0.054475    0.640887    0.002788  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.103874   0.000283   0.118724   0.000450   0.129570   0.000715   1.247372   0.007676   0.108364   0.000265   0.060679

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.137124   0.000301   0.154661   0.000465   0.169518   0.000759   1.236241   0.006165   0.142784   0.000282   0.142784

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004357120   0.000046654   0.001229497   0.000024736   0.000492200   0.000015626   8.852342159   0.296589912  
    37.500   0.005945492   0.000054578   0.002404361   0.000034735   0.000801955   0.000020073   7.413750000   0.197656505  
    62.500   0.004549088   0.000047655   0.002182319   0.000033029   0.000933275   0.000021620   4.874328679   0.123925133  
    87.500   0.002842930   0.000037631   0.001589374   0.000028118   0.000791930   0.000019877   3.589873418   0.101866887  
   112.500   0.001585364   0.000028094   0.000960341   0.000021962   0.000549339   0.000016616   2.885948905   0.101168184  
   137.500   0.000875133   0.000021026   0.000567884   0.000016871   0.000370904   0.000013682   2.359459459   0.103869810  
   162.500   0.000463630   0.000015189   0.000323288   0.000012717   0.000223044   0.000010544   2.078651685   0.119552039  
   187.500   0.000255623   0.000011305   0.000182946   0.000009554   0.000131821   0.000008146   1.939163498   0.147358677  
   212.500   0.000132824   0.000008146   0.000117286   0.000007656   0.000079193   0.000006294   1.677215190   0.168371335  
   237.500   0.000073680   0.000006071   0.000055636   0.000005277   0.000043606   0.000004673   1.689655172   0.228396833  
   262.500   0.000036088   0.000004251   0.000032078   0.000004008   0.000031076   0.000003945   1.161290323   0.201117446  
   287.500   0.000021051   0.000003247   0.000013533   0.000002604   0.000013032   0.000002555   1.615384615   0.403024710  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.102851    0.004946    0.057139    0.003683    0.032379    0.002774    3.176471    0.312094  
 -0.921053    0.071662    0.004136    0.039283    0.003055    0.023570    0.002367    3.040404    0.352218  
 -0.868421    0.089756    0.004636    0.050473    0.003462    0.031427    0.002733    2.856061    0.288891  
 -0.815789    0.115231    0.005254    0.057854    0.003706    0.031665    0.002743    3.639098    0.356287  
 -0.763158    0.134515    0.005659    0.067853    0.004026    0.036426    0.002942    3.692810    0.336296  
 -0.710526    0.170466    0.006351    0.082376    0.004419    0.046664    0.003329    3.653061    0.294010  
 -0.657895    0.200464    0.006897    0.096423    0.004791    0.042140    0.003164    4.757062    0.392876  
 -0.605263    0.230224    0.007412    0.117612    0.005286    0.048568    0.003396    4.740196    0.364903  
 -0.552632    0.268317    0.008000    0.120945    0.005360    0.055711    0.003637    4.816239    0.345628  
 -0.500000    0.286173    0.008226    0.124040    0.005417    0.053092    0.003582    5.390135    0.395305  
 -0.447368    0.301172    0.008474    0.146181    0.005886    0.059996    0.003773    5.019841    0.345876  
 -0.394737    0.333074    0.008929    0.144991    0.005911    0.059996    0.003788    5.551587    0.380834  
 -0.342105    0.336169    0.008943    0.148562    0.005943    0.067615    0.004005    4.971831    0.322837  
 -0.289474    0.372120    0.009368    0.165704    0.006281    0.072376    0.004157    5.141447    0.322414  
 -0.236842    0.376167    0.009460    0.157371    0.006114    0.073567    0.004204    5.113269    0.319242  
 -0.184211    0.384738    0.009592    0.174751    0.006438    0.068091    0.004019    5.650350    0.362045  
 -0.131579    0.401642    0.009727    0.161418    0.006209    0.075233    0.004224    5.338608    0.326424  
 -0.078947    0.390214    0.009663    0.172370    0.006386    0.079757    0.004361    4.892537    0.293699  
 -0.026316    0.381405    0.009576    0.171180    0.006417    0.078567    0.004316    4.854545    0.293215  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.917236    0.023900    0.239960    0.012264    0.110895    0.008326    8.271186    0.657344  
  0.030000    2.338199    0.038190    0.686047    0.020628    0.276925    0.013165    8.443439    0.424439  
  0.050000    3.183384    0.044530    1.155316    0.026885    0.479293    0.017291    6.641830    0.256994  
  0.070000    3.651400    0.047717    1.476098    0.030297    0.533175    0.018265    6.848414    0.251102  
  0.090000    3.756030    0.048217    1.628971    0.031869    0.630286    0.019845    5.959245    0.202630  
  0.110000    3.501034    0.046796    1.575716    0.031462    0.672890    0.020528    5.202980    0.173296  
  0.130000    2.851325    0.042203    1.413445    0.029720    0.661613    0.020360    4.309659    0.147165  
  0.150000    2.150868    0.036679    1.177245    0.027214    0.575778    0.019008    3.735582    0.138802  
  0.170000    1.464820    0.030226    0.904705    0.023774    0.519391    0.018054    2.820265    0.114006  
  0.190000    0.978009    0.024750    0.632792    0.019864    0.359000    0.014970    2.724258    0.132880  
  0.210000    0.602093    0.019346    0.405363    0.015946    0.238707    0.012200    2.522310    0.152272  
  0.230000    0.383435    0.015516    0.296347    0.013614    0.185452    0.010759    2.067568    0.146248  
  0.250000    0.245599    0.012374    0.186079    0.010850    0.113401    0.008419    2.165746    0.194325  
  0.270000    0.164150    0.010125    0.110895    0.008326    0.090846    0.007538    1.806897    0.186804  
  0.290000    0.101497    0.007966    0.066412    0.006446    0.045110    0.005314    2.250000    0.318490  
