System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84800
Number of events that dont conserve energy: 227

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.564387    0.002533    0.247642    0.001695    0.119363    0.001181    4.728315    0.051362    0.683750    0.002795  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.104213   0.000267   0.118509   0.000425   0.129981   0.000680   1.247268   0.007267   0.108711   0.000250   0.061058

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.137476   0.000282   0.154657   0.000444   0.168682   0.000700   1.226995   0.005678   0.142923   0.000263   0.142923

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004600   0.000047   0.001262   0.000024   0.000507   0.000015   9.079143   0.291435   0.005106   0.000049  
    37.500   0.006333   0.000054   0.002487   0.000034   0.000900   0.000021   7.036688   0.171834   0.007233   0.000058  
    62.500   0.004839   0.000048   0.002194   0.000032   0.000996   0.000022   4.859782   0.115783   0.005835   0.000052  
    87.500   0.003095   0.000038   0.001613   0.000027   0.000829   0.000020   3.734206   0.099933   0.003924   0.000043  
   112.500   0.001736   0.000029   0.000990   0.000022   0.000605   0.000017   2.869057   0.092941   0.002342   0.000033  
   137.500   0.000916   0.000021   0.000608   0.000017   0.000390   0.000014   2.349879   0.097662   0.001305   0.000025  
   162.500   0.000505   0.000015   0.000332   0.000012   0.000230   0.000010   2.194672   0.119459   0.000735   0.000019  
   187.500   0.000253   0.000011   0.000182   0.000009   0.000142   0.000008   1.784053   0.128251   0.000395   0.000014  
   212.500   0.000134   0.000008   0.000117   0.000007   0.000072   0.000006   1.856209   0.185931   0.000206   0.000010  
   237.500   0.000076   0.000006   0.000063   0.000005   0.000046   0.000005   1.653061   0.211394   0.000123   0.000008  
   262.500   0.000047   0.000005   0.000026   0.000004   0.000029   0.000004   1.622951   0.264052   0.000075   0.000006  
   287.500   0.000020   0.000003   0.000013   0.000002   0.000014   0.000003   1.482759   0.356217   0.000034   0.000004  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.102170    0.004793    0.059599    0.003662    0.034057    0.002760    3.000000    0.280906  
 -0.921053    0.085366    0.004364    0.038762    0.002978    0.024422    0.002359    3.495413    0.382005  
 -0.868421    0.097465    0.004693    0.050413    0.003356    0.038314    0.002927    2.543860    0.229722  
 -0.815789    0.125696    0.005308    0.060943    0.003689    0.031144    0.002639    4.035971    0.382160  
 -0.763158    0.154823    0.005874    0.072370    0.004032    0.035401    0.002814    4.373418    0.385181  
 -0.710526    0.171403    0.006202    0.090743    0.004498    0.042795    0.003093    4.005236    0.323728  
 -0.657895    0.218679    0.006981    0.094328    0.004597    0.042123    0.003069    5.191489    0.412926  
 -0.605263    0.241085    0.007351    0.111132    0.004985    0.045259    0.003196    5.326733    0.409756  
 -0.552632    0.274469    0.007830    0.119646    0.005181    0.049068    0.003311    5.593607    0.409836  
 -0.500000    0.305837    0.008284    0.127264    0.005331    0.058031    0.003600    5.270270    0.356782  
 -0.447368    0.309198    0.008304    0.145637    0.005699    0.065649    0.003829    4.709898    0.302404  
 -0.394737    0.340790    0.008729    0.146981    0.005716    0.072594    0.004025    4.694444    0.286733  
 -0.342105    0.378880    0.009236    0.149670    0.005803    0.069682    0.003944    5.437299    0.335085  
 -0.289474    0.381344    0.009238    0.159304    0.005966    0.073267    0.004044    5.204893    0.313726  
 -0.236842    0.393219    0.009364    0.170731    0.006198    0.083349    0.004324    4.717742    0.269281  
 -0.184211    0.427500    0.009795    0.169387    0.006198    0.082229    0.004306    5.198910    0.297187  
 -0.131579    0.417193    0.009661    0.167146    0.006109    0.078644    0.004189    5.304843    0.308112  
 -0.078947    0.412264    0.009606    0.177677    0.006296    0.082005    0.004277    5.027322    0.287190  
 -0.026316    0.428620    0.009781    0.171403    0.006185    0.079764    0.004230    5.373596    0.310265  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.981132    0.024062    0.248821    0.012082    0.115566    0.008245    8.489796    0.640499  
  0.030000    2.548349    0.038627    0.731132    0.020795    0.333137    0.013968    7.649558    0.341060  
  0.050000    3.400943    0.044732    1.114387    0.025673    0.462264    0.016475    7.357143    0.279496  
  0.070000    3.749410    0.046904    1.541274    0.030027    0.583137    0.018659    6.429727    0.220902  
  0.090000    3.951061    0.048167    1.629717    0.030987    0.712264    0.020483    5.547185    0.173265  
  0.110000    3.752358    0.047016    1.636203    0.031056    0.691038    0.020253    5.430034    0.173074  
  0.130000    3.089623    0.042601    1.463443    0.029300    0.691038    0.020149    4.470990    0.144206  
  0.150000    2.306014    0.036919    1.222288    0.026802    0.572524    0.018344    4.027806    0.144265  
  0.170000    1.599057    0.030815    0.916863    0.023217    0.519458    0.017450    3.078320    0.119214  
  0.190000    1.048939    0.024860    0.650943    0.019588    0.415094    0.015602    2.526989    0.112285  
  0.210000    0.680425    0.020067    0.441627    0.016152    0.290094    0.013067    2.345528    0.126284  
  0.230000    0.406840    0.015560    0.294222    0.013159    0.186321    0.010462    2.183544    0.148344  
  0.250000    0.275354    0.012707    0.175118    0.010144    0.129717    0.008734    2.122727    0.173275  
  0.270000    0.165094    0.009850    0.122642    0.008493    0.097877    0.007589    1.686747    0.165025  
  0.290000    0.106132    0.007902    0.075472    0.006666    0.066038    0.006236    1.607143    0.193262  
