,,,,,,,,,,
,,,,,,,,,L,delta np  
KE MeV,15,45,75,105,145,205,275,,15,0.33
pi-/pi+,10.09371158,6.84010152,4.0375712,2.77918759,1.78251907,1.16497761,0.860252,,,
error,0.10280281,0.05552378,0.03501827,0.03037082,0.02258307,0.02433308,0.04280923,,,
,,,,,,,,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,15,0
,8.89731124,6.09395013,3.82599407,2.79684523,1.96308812,1.34364821,1.04662379,,,
,0.09332674,0.05172375,0.03560619,0.03347287,0.02745047,0.0320423,0.05873373,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,15,-0.33
,8.94316997,6.11982396,4.00191219,3.02769045,2.16886821,1.62485392,1.1752988,,,
,0.09605,0.0538117,0.03901276,0.03836745,0.03212224,0.04074131,0.07136874,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,60,0.33
,8.92854629,6.23817778,3.99154433,3.00938673,2.2859809,1.71789302,1.30832196,,,
,0.08834301,0.04941208,0.03413084,0.03277797,0.02868281,0.03554059,0.06421134,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,60,0
,8.0981977,5.76255956,3.88704642,3.10848369,2.44380898,1.91307524,1.58958333,,,
,0.08259763,0.04829899,0.03618655,0.03776566,0.03465093,0.04508382,0.09253706,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,60,-0.33
,8.03355886,5.68820834,4.05834922,3.31636232,2.61368241,2.03982477,1.82173913,,,
,0.08081772,0.04779994,0.03871201,0.04159434,0.03827397,0.04963645,0.10567781,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,106,0.33
,7.99444183,5.78792863,3.99729013,3.19164641,2.67354491,2.18159066,2.01494768,,,
,0.07500963,0.0441796,0.03347236,0.03402926,0.03307978,0.04393653,0.09525417,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,106,0
,8.21572248,5.84008489,4.08977248,3.4652381,2.88561633,2.3756487,2.29596413,,,
,0.0857599,0.0498929,0.03875936,0.04289701,0.04173644,0.05652494,0.13015737,,,
,,,,,,,,,,
,15,45,75,105,145,205,275,,106,-0.33
,7.42420632,5.43922455,3.96732456,3.50131464,2.98390342,2.68223028,2.45363409,,,
,0.07285886,0.04554561,0.03786236,0.044364,0.04457608,0.06681299,0.14567225,,,
