x,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,exp
5,10.22767419,10.66598985,10.88790233,9.57180617,9.41214351,9.95348837,9.23534269,8.96341463,10.51612903,38.7231
15,9.10868207,9.50322581,10.0430791,8.2252899,8.43372781,9.70624571,7.44918378,8.00682982,8.3075,13.644
25,8.21544715,8.70271656,9.55850144,7.70142857,7.75613346,8.49323621,6.72588389,7.42629108,7.78125,8.23447
35,7.45481671,8.10092552,8.80864811,7.1117837,7.3857868,8.01016166,6.16374046,6.77146312,7.37718121,5.69706
45,6.61234369,6.69856459,7.10709677,5.73795073,5.93899302,6.70682566,5.35657023,5.86819696,6.36429725,5.3565
55,5.26930392,5.63586315,5.77959853,5.10882353,5.27303625,5.64982374,4.70248227,5.11176906,5.25320388,4.10288
65,4.49326466,4.49140893,4.76862583,4.56294821,4.3480226,4.64071623,4.29584639,4.43632166,4.50771666,4.0542
75,4.03643547,4.07512733,4.09810823,3.94077834,3.95160617,4.36222628,3.97909408,4.12807245,4.1008658,3.50052
85,3.64519326,3.53512494,3.58789062,3.64527027,3.58547009,3.64904961,3.88117284,3.86475814,3.83648714,3.21723
95,3.2881925,3.14324034,3.01966874,3.5601907,3.26037118,3.32400431,3.42881452,3.45252637,3.64370412,3.03436
105,2.86409608,2.87709497,2.65700185,3.16307278,3.15224681,2.98831488,3.49036403,3.33883752,3.32252027,2.87445
115,2.7546729,2.39026063,2.54217791,3.21351126,3.01347068,2.83055757,3.26906957,3.28310864,3.16306028,2.8224
125,2.56332703,2.40325497,2.08128079,2.98483316,2.66975023,2.93067426,3.37860963,3.21572581,3.11172669,2.61712
135,2.18743455,2.03137652,1.9800995,2.68202765,2.50941423,2.35707121,3.15885417,2.92117647,3.10714286,2.75384
145,2.26258503,1.90157959,1.69537137,2.81191223,2.42323651,2.29003783,3.06132075,2.67162162,2.65952081,2.54969
155,2.06546645,1.89099526,1.60618847,2.43439716,2.60661765,2.17065868,3.03992016,2.4863124,2.66025641,2.55573
170,1.81034483,1.66322314,1.37477954,2.56510067,2.112,1.95440415,2.84015852,2.87159533,2.58576429,2.75858
190,1.53269537,1.44257274,1.2100955,2.12945591,2.05163511,1.875,2.53422053,2.32574431,2.3344426,2.69063
220,1.41434846,1.23895028,0.96827262,2.22286822,1.76271186,1.60916031,2.87637969,2.62427746,2.17504052,2.28375
270,1.16918429,1.169279,0.81034483,2.11637931,1.6490566,1.5442623,2.38325991,2.22529644,2.12333333,2.72452
