,,,,,,,,,,,,,,,,,,,,,,,L,dm*
,,,,,,,,,,,,,,,,,,,,,,,,
,5.00,15.00,25.00,35.00,45.00,55.00,65.00,75.00,85.00,95.00,105.00,115.00,125.00,135.00,145.00,155.00,170.00,190.00,220.00,270.00,,,15,-0.33
,10.23,9.11,8.22,7.45,6.61,5.27,4.49,4.04,3.65,3.29,2.86,2.75,2.56,2.19,2.26,2.07,1.81,1.53,1.41,1.17,,,,
,0.34,0.24,0.20,0.16,0.14,0.11,0.10,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.10,0.10,0.07,0.08,0.07,0.09,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,10.67,9.50,8.70,8.10,6.70,5.64,4.49,4.08,3.54,3.14,2.88,2.39,2.40,2.03,1.90,1.89,1.66,1.44,1.24,1.17,,,,
,0.35,0.25,0.21,0.18,0.14,0.12,0.10,0.09,0.09,0.08,0.08,0.07,0.09,0.08,0.08,0.09,0.07,0.07,0.06,0.09,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,10.89,10.04,9.56,8.81,7.11,5.78,4.77,4.10,3.59,3.02,2.66,2.54,2.08,1.98,1.70,1.61,1.37,1.21,0.97,0.81,,,,
,0.38,0.28,0.24,0.21,0.16,0.13,0.11,0.10,0.09,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.05,0.06,0.05,0.06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,9.57,8.23,7.70,7.11,5.74,5.11,4.56,3.94,3.65,3.56,3.16,3.21,2.98,2.68,2.81,2.43,2.57,2.13,2.22,2.12,,,,
,0.30,0.20,0.18,0.15,0.12,0.11,0.10,0.09,0.09,0.10,0.09,0.11,0.11,0.11,0.13,0.12,0.11,0.11,0.12,0.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,9.41,8.43,7.76,7.39,5.94,5.27,4.35,3.95,3.59,3.26,3.15,3.01,2.67,2.51,2.42,2.61,2.11,2.05,1.76,1.65,,,,
,0.30,0.22,0.18,0.16,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.13,0.09,0.10,0.09,0.13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,9.95,9.71,8.49,8.01,6.71,5.65,4.64,4.36,3.65,3.32,2.99,2.83,2.93,2.36,2.29,2.17,1.95,1.88,1.61,1.54,,,,
,0.33,0.27,0.20,0.18,0.15,0.12,0.10,0.10,0.09,0.09,0.09,0.09,0.10,0.09,0.10,0.10,0.08,0.09,0.08,0.11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,9.24,7.45,6.73,6.16,5.36,4.70,4.30,3.98,3.88,3.43,3.49,3.27,3.38,3.16,3.06,3.04,2.84,2.53,2.88,2.38,,,,
,0.28,0.18,0.15,0.13,0.11,0.10,0.09,0.09,0.10,0.09,0.11,0.11,0.13,0.13,0.14,0.16,0.12,0.13,0.16,0.19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,8.96,8.01,7.43,6.77,5.87,5.11,4.44,4.13,3.86,3.45,3.34,3.28,3.22,2.92,2.67,2.49,2.87,2.33,2.62,2.23,,,,
,0.28,0.20,0.17,0.15,0.12,0.11,0.10,0.10,0.10,0.09,0.10,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,10.52,8.31,7.78,7.38,6.36,5.25,4.51,4.10,3.84,3.64,3.32,3.16,3.11,3.11,2.66,2.66,2.59,2.33,2.18,2.12,,,,
,0.37,0.22,0.19,0.17,0.14,0.11,0.10,0.10,0.09,0.10,0.09,0.10,0.11,0.13,0.11,0.13,0.10,0.11,0.11,0.15,,,,
